make,model_name,model_details,price,kms,year,transmission,detailsLink,type1,type2,type 3,,,
Ford,ranger, 3.2 TDCI XLT 4x4 A/T,"275,000","164,000",2014,Automatic,https://www.namcars.net/Ford-Ranger-3.2-TDCI-XLT-4x4-A-T-1400734218,4x4,Bakkie,,,,
Ford,ranger, 3.2 XLT 4x4 Auto,"349,000","164,000",2017,Automatic,https://www.namcars.net/Ford-Ranger-3.2-XLT-4x4-Auto-1400734822,4x4,Bakkie,,,,
Ford,ranger, Wildtrak,"379,995","164,000",2018,Automatic,https://www.namcars.net/Ford-Ranger-Wildtrak-1400735130,4x4,Bakkie,,,,
Toyota,fortuner, 2.8 GD-6 4X4 6AT,"429,900","163,800",2016,Automatic,https://www.namcars.net/Toyota-Fortuner-2.8-GD-6-4X4-6AT-1400734355,4x4,,SUV,,,
Toyota,fortuner, 2.4 GD-6 R/B A/T,"339,900","163,500",2016,Automatic,https://www.namcars.net/Toyota-Fortuner-2.4-GD-6-R-B-A-T-1400733165,,,SUV,,,
Hyundai,ix35, 2.0 Premium,"125,000","163,000",2015,Manual,https://www.namcars.net/Hyundai-iX35-2.0-Premium-1400734563,,,SUV,,,
Chevrolet,chevrolet, Cruze 2.0D LT Sedan,"75,000","163,000",2010,Manual,https://www.namcars.net/Chevrolet-Chevrolet-Cruze-2.0D-LT-Sedan-1400735106,,,,,,
Toyota,hilux, 2.0 Vvt i+ A/C S/C LWB,"265,000","162,900",2019,Manual,https://www.namcars.net/Toyota-Hilux-2.0-Vvt-i-A-C-S-C-LWB-1400733610,,,,,,
Hyundai,ix35, 2.0 Gls/executive Auto,"118,000","162,000",2011,Automatic,https://www.namcars.net/Hyundai-iX35-2.0-Gls-executive-Auto-1400734276,,,SUV,,,
Volkswagen,jetta, TSI Comfortline,"259,995","162,000",2019,DSG,https://www.namcars.net/Volkswagen-Jetta-TSI-Comfortline-1400734828,,,,,,
Volkswagen,tiguan, TSI Comfortline 92 Kw,"279,995","162,000",2017,Manual,https://www.namcars.net/Volkswagen-Tiguan-TSI-Comfortline-92-Kw-1400734926,,,SUV,,,
Volkswagen,golf, 7 1.4 TSI DSG,"179,900","162,000",2014,DSG,https://www.namcars.net/Volkswagen-Golf-7-1.4-TSI-DSG-1400734459,,,,,,
Ford,ranger, 2.2 Diesel 4x2 S/C,"179,900","161,888",2013,Manual,https://www.namcars.net/Ford-Ranger-2.2-Diesel-4x2-S-C-1400734513,,,,,,
Toyota,hilux, 2.8 XC 4x4 A/T,"459,900","161,000",2018,Automatic,https://www.namcars.net/Toyota-Hilux-2.8-XC-4x4-A-T-1400734787,4x4,,,,,
